__symbol__,__occurence__
 ,742299
A,6547
u,195446
c,80213
o,164124
m,82246
e,459038
n,197339
t,215783
D,7540
i,213590
r,203028
é,55101
a,241365
l,173651
.,28387
L,5143
f,33382
v,53461
d,111081
;,10983
s,266449
è,13265
b,23565
',39784
î,1426
",",65023
E,8146
p,78977
-,11107
x,13321
:,9368
"""",8050
Q,2103
!,3105
q,32634
j,15805
N,2051
y,9441
C,5741
T,2703
M,4444
P,3740
g,22974
z,8420
h,44050
à,15407
ç,770
ê,5259
S,6607
F,766
â,2525
V,2113
Y,6718
w,6687
I,6731
ô,1409
O,1580
U,528
H,1488
ù,1050
G,1197
?,2835
J,8269
É,266
ï,2134
ë,2769
û,615
B,1860
R,1154
ü,570
Z,350
œ,634
–,163
«,1679
k,64
’,713
W,1
»,1630
È,36
Ï,16
X,253
K,16
Ô,3
(,185
),185
…,3
Ë,5
Ü,5
*,2
2,4
6,1
1,3
À,4
3,1
4,2
—,256
Œ,1
Ê,4
[,87
],87
_,4
7,2
5,1
{,1
},1
Â,3
