__token__,__occurence__
Au,219
commencement,83
Dieu,4744
créa,123
le,16372
ciel,666
et,28974
la,18085
terre,1649
La,669
était,1592
informe,28
vide,48
les,15195
ténèbres,250
couvraient,36
l'abîme,65
l'Esprit,135
de,32020
se,3748
mouvait,26
au-dessus,198
des,8789
eaux,523
dit,3441
``,5117
Que,813
lumière,326
soit,667
fut,1116
Et,3723
vit,354
que,9202
bonne,148
sépara,57
appela,191
jour,1482
Nuit,27
il,7092
y,1561
eut,664
un,5112
soir,285
matin,353
ce,4079
premier,204
Qu'il,117
ait,197
firmament,239
entre,544
qu'il,2150
sépare,36
d'avec,63
eaux.,26
fit,883
qui,9098
sont,2014
au-dessous,77
du,6050
cela,843
ainsi,1080
Ciel,27
second,128
rassemblent,30
en,7051
seul,312
lieu,514
sec,80
paraisse.,26
Terre,30
Mer,28
l'amas,27
bon,430
Puis,250
fasse,168
pousser,36
gazon,59
herbes,58
portant,114
semence,188
arbres,126
a,3191
fruit,248
produisant,54
selon,1155
leur,3032
espèce,269
ayant,563
soi,91
sa,2964
sur,4411
terre.,143
sortir,257
troisième,148
luminaires,79
dans,6510
pour,6586
séparer,65
nuit,381
qu'ils,942
soient,225
signes,61
marquent,26
époques,28
jours,660
années,121
servent,53
éclairer,59
deux,869
grands,172
plus,1512
grand,530
luminaire,54
présider,79
au,3284
petit,118
à,12934
aussi,991
étoiles,68
plaça,68
quatrième,84
foisonnent,26
d'une,424
multitude,150
d'êtres,26
vivants,106
oiseaux,186
volent,29
face,435
ciel.,27
animaux,198
aquatiques,26
tout,2305
être,344
vivant,186
meut,86
foisonnant,26
volatile,26
ailé,29
son,3555
bénit,107
disant,699
Soyez,85
féconds,58
multipliez,58
remplissez,55
mer,444
multiplient,40
cinquième,77
êtres,56
animés,27
domestiques,91
reptiles,70
bêtes,148
espèce.,26
rampe,32
Faisons,28
l'homme,767
notre,676
image,85
ressemblance,38
domine,39
poissons,90
toute,1060
rampent,34
l'image,49
mâle,68
femelle,36
soumettez-la,26
dominez,27
animal,78
Voici,728
je,5061
vous,6368
donne,320
herbe,57
surface,44
arbre,74
porte,369
d'arbre,28
sera,1328
votre,1180
nourriture,118
oiseau,36
souffle,102
vie,634
verte,31
nourriture.,27
avait,1454
fait,1617
voici,574
très,176
sixième,67
Ainsi,448
furent,352
achevés,3
armée,87
achevé,57
septième,113
oeuvre,47
faite,64
reposa,11
sanctifia,4
parce,613
qu'en,32
jour-là,172
s'était,82
reposé,6
l'oeuvre,45
créée,1
faisant,105
l'histoire,12
quand,605
ils,3325
créés,8
lorsque,160
Yahweh,6658
une,2895
Il,2142
n'y,521
encore,648
aucun,172
arbrisseau,2
champs,185
aucune,114
n'avait,74
germé,1
car,1931
pas,5051
pleuvoir,14
d'homme,54
cultiver,2
sol,91
Mais,1011
vapeur,2
montait,47
arrosait,1
forma,5
poussière,117
souffla,4
ses,2950
narines,20
devint,111
planta,6
jardin,46
Eden,6
côté,326
l'Orient,24
mit,258
formé,42
d'arbres,7
agréables,14
voir,175
bons,24
manger,136
l'arbre,29
milieu,692
connaissance,59
bien,557
mal,417
Un,187
fleuve,118
sortait,25
d'Eden,10
arroser,4
là,685
partageait,1
quatre,251
bras,101
Le,1311
nom,736
est,4237
Phison,1
c'est,1129
celui,1007
entoure,9
pays,1624
d'Hévilath,1
où,865
trouve,115
l'or,126
trouvent,20
bdellium,2
pierre,170
d'onyx,7
Géhon,1
Cousch,1
Tigre,1
coule,13
l'orient,95
d'Assur,7
l'Euphrate,19
prit,342
garder,42
donna,293
cet,317
ordre,113
Tu,864
peux,15
tous,2207
mais,1546
tu,3183
ne,5475
mangeras,49
mourras,27
certainement.,1
n'est,517
lui,4077
ferai,327
aide,30
semblable,119
'',2933
venir,255
vers,979
comment,160
appellerait,1
portât,5
donnerait,7
noms,92
aux,1703
trouva,72
Alors,538
tomber,69
profond,15
sommeil,32
s'endormit,5
côtes,4
referma,3
chair,338
place,281
De,244
côte,9
prise,45
femme,753
l'amena,9
Celle-ci,2
cette,876
fois,287
os,86
mes,1095
ma,1169
appelée,19
qu'elle,272
été,930
l'homme.,1
C'est,884
pourquoi,447
quittera,7
père,810
mère,311
s'attachera,10
deviendront,18
seule,64
Ils,1029
étaient,733
nus,8
sans,863
avoir,204
honte,97
serpent,40
rusé,3
faits,80
Est-ce,120
aurait,26
Vous,562
mangerez,76
répondit,599
Nous,289
mangeons,5
n'en,201
point,1401
toucherez,4
peur,181
mouriez.,1
Non,69
mourrez,11
sait,59
vos,1007
yeux,719
s'ouvriront,3
serez,106
comme,2410
connaissant,13
mal.,2
agréable,64
vue,103
désirable,1
acquérir,6
l'intelligence,66
elle,1211
mangea,25
mari,117
avec,3143
Leurs,35
s'ouvrirent,5
connurent,3
cousu,2
feuilles,9
figuier,33
s'en,346
firent,213
ceintures,9
entendirent,13
voix,434
passant,23
brise,25
cachèrent,4
devant,1595
Où,91
es-tu,39
J'ai,208
entendu,208
ta,1268
j'ai,787
eu,124
suis,801
nu,39
me,1449
caché.,1
Qui,251
t'a,133
appris,119
es,265
as,542
mangé,61
dont,380
t'avais,12
défendu,11
L'homme,78
avez,516
mise,23
moi,1783
m'a,344
donné,386
j'en,48
ai,291
mangé.,1
Pourquoi,271
as-tu,36
trompée,3
Parce,98
maudit,34
toutes,939
marcheras,9
ton,1894
ventre,34
mettrai,63
inimitié,4
toi,1669
postérité,117
celle-ci,11
te,1398
meurtrira,1
tête,374
meurtriras,1
talon,5
A,311
multiplierai,19
tes,1380
souffrances,31
spécialement,2
celles,64
grossesse,2
enfanteras,3
fils,3656
douleur,46
désir,38
portera,33
dominera,7
toi.,13
écouté,58
sujet,231
duquel,32
cause,611
par,2517
travail,101
pénible,5
tireras,6
produira,8
épines,37
chardons,5
l'herbe,50
sueur,3
visage,131
pain,268
jusqu'à,751
retournes,1
d'elle,74
pris,280
retourneras,5
Adam,15
d'Eve,1
tuniques,17
peau,92
revêtit,42
devenu,70
l'un,208
nous,2711
Maintenant,131
n'avance,1
main,919
prenne,30
vivre,49
éternellement.,1
d'Éden,3
cultivât,1
d'où,74
chassa,22
Chérubins,34
flamme,34
l'épée,281
tournoyante,1
chemin,267
connut,11
Eve,3
conçut,27
enfanta,79
Caïn,20
acquis,30
homme,965
secours,86
Elle,229
Abel,10
frère,381
pasteur,30
brebis,257
laboureur,6
bout,57
quelque,166
temps,502
offrit,49
produits,35
oblation,90
premiers-nés,29
troupeau,104
graisse,78
regarda,32
offrande,112
irrité,51
abattu,18
est-il,66
Si,635
fais,206
seras-tu,7
agréé,8
si,947
péché,466
couche-t-il,1
Son,58
tourne,24
dois,29
dominer,8
lui.,4
Allons,21
champs.,1
s'éleva,22
contre,1308
tua,32
Je,1379
sais,139
suis-je,31
gardien,10
mon,2215
Qu'as-tu,17
sang,451
crie,46
ouvert,52
bouche,351
recevoir,42
Quand,345
cultiveras,3
donnera,96
fruits,85
seras,143
errant,6
fugitif,8
Ma,57
peine,83
trop,63
grande,399
puisse,45
supporter,14
chassez,4
aujourd'hui,232
serai,120
caché,57
loin,192
quiconque,126
trouvera,35
tuera.,1
Eh,22
quelqu'un,182
tue,31
vengé,11
sept,416
fois.,1
signe,86
afin,849
rencontrerait,1
tuât,1
s'éloigna,10
habita,9
Nod,1
Hénoch,14
bâtir,54
ville,774
Irad,1
naquit,13
engendra,183
Maviaël,2
Mathusaël,2
Lamech,12
femmes,266
l'une,52
Ada,5
seconde,67
Sella,4
Jabel,1
ceux,1325
habitent,38
sous,416
tentes,66
troupeaux,117
Jubal,1
jouent,2
harpe,34
chalumeau,5
Tubal-Caïn,2
forgeait,1
d'instruments,2
tranchants,9
d'airain,118
fer,80
soeur,83
Noéma,1
entendez,20
écoutez,44
parole,772
tué,77
blessure,15
jeune,215
meurtrissure,6
soixante-dix-sept,4
l'appela,23
Seth,9
dit-elle,11
d'Abel,3
tué.,1
Enos,6
Ce,354
alors,226
l'on,276
commença,27
invoquer,5
livre,212
d'Adam,5
Lorsque,209
d'Homme,1
lorsqu'ils,37
vécut,53
cent,373
trente,114
ans,399
Les,1019
après,486
engendré,34
huit,53
cents,200
filles,256
Tout,174
qu'Adam,1
neuf,43
mourut,133
cinq,242
Après,195
douze,160
