__token__,__occurence__
Ŋgimbi,796
nɛ̀,22226
Sɔ̧,6139
ku̧u̧,160
naŋ,607
dee,3791
yiwese,753
in,12989
nù,2942
duka,1633
so,5669
gee,258
mɔ,9812
bo,1344
sɛnɛ,1712
na,10096
tum,200
kpee,174
zu,7093
ɗuka-fara,30
Ɔmi,305
ko,12295
bui̧a,5
nɛ,24798
yì,707
nɛnɛ,2529
tɔ̧a̧,750
Sa̧a̧mɔ,31
a̧,18097
de,6065
Ɓɛɛ,3258
sa̧a̧mɔ,286
zɔka,901
duk,5115
de-a,561
ɓɛɛ,15108
kɛ̧,207
mgbara,1690
saa,373
wese,874
sa,746
nin,575
tum'e,6
zɛ,680
Hegɔ,490
dea,367
sa̧,188
nɛ́,14371
kuti,236
ɔɔ-zɛ,141
Gba̧a̧-yí-zan,5
o,27269
mɛ,14210
wa,12701
hegɔ,1570
gba̧a̧-yí-zan,21
ŋgɔn,674
ɗɔɔ,800
Zɛ,67
yiitoo,804
O,3285
mɛ́,2491
mɔi̧,306
ŋmaa,1648
kpɔk,2356
fara,1463
ha̧,15428
kora,76
gbo,487
nu,1215
mɔi̧a,333
ŋmaa'e,14
gba-tɔp,259
zɔka'e,120
‘,21365
i,10582
ɔ,1641
Nu,29
dɛm,86
bɔr-mɔ,15
nyɔnɔ,213
a̧a̧,2509
kpar-a,17
te,417
wai,86
nyɛm,1338
ɗoŋ,3970
kpar-wa,13
tɛ,20726
siti,418
taar,401
sɛn,3472
wen,9978
kɛ̧ɛ̧,127
ya,1193
mɔɔ-usi-mɔ,103
gbaŋa,214
tɔra,170
pɛ,789
tɛ́,1489
nyɛka-a,26
nù.,13
gasa,1401
geɗek,173
ee,917
nɔ,2215
wan,1663
mɔɔ,561
naar,182
Yì,27
dun,117
be,4499
lɛŋ,6351
ɔm,122
nɔ̧́í̧,165
bu̧i,21
see,469
ŋga,563
saɗi-ɗɔɔ-yì,7
fo,310
foo,152
duk-wa,36
duna,145
toka,155
yoŋgo,286
Ɛ̀nɛ̀,1505
dɛ́m,6
ɛ̀nɛ̀,2575
nyɛ́ɓí,5
dún,14
dɔ́k,13
mbɛt,3949
mɔɔrɔ,201
Nù,73
saɗi,373
saɗi-zaŋbɛɛ,46
mɔ-dai,374
Ɛ̀ɛ̀,114
dé,651
bíí,7731
hee,3602
ɛ́ɛ́,1642
ga,3314
hɔɔ,716
yɛɛ,108
kpa,1595
ŋgai,996
zoro,62
saɗi-gbur-zaŋ,17
hɔ,1849
gi̧ɔ̧-tɛ-a,8
wiwii,348
okoo,359
tɔ̧ɔ̧,2559
kó,41
ɔ́,58
Mi,2286
ha̧a̧,1110
waya-a,62
h,2190
’,12346
ɛ́nɛ́,6734
mɔɔ-nyɔŋ,30
k,5005
gbur,43
zaŋ,731
ɔmi,111
mi,4153
zɔ̧,104
nyɔŋmɔ.,5
n'aa,1865
nyɛmna,694
mɔɔrɔ-ɗoŋ-kpɔk,119
kaɗa,168
tom,1613
mɔɔrɔ-ɗoŋ-yiitoo,430
ɔma,13
tɛ̀,517
tok,261
e,4425
wese'i,202
nɛtɛ,596
á̧,191
Ku̧u̧naŋ,5
ŋgimbi,1589
GASA,6681
WAN,6611
ŋma,4590
zaŋnu,403
kóó,1618
kpɛɛfɔ,135
hɔ̧ɔ̧,133
kórò,126
waa,12
fɔ,187
Ŋgimbi'i,95
dɔka,551
pii,877
zan,205
ɓɔ,61
ɓoo,13
fuunu,81
A̧,2310
si,2545
kɔ̧,2734
zɔ̧ɔ̧-a̧a̧,11
duka-kpasa,146
ku̧,106
kpasa,904
Nɛ́,1997
mɔ'ɔ,3487
Edɛn,18
war,1453
daŋa-wese,164
zɔka-a,6
nyɔŋa-a,23
iŋa,628
demɔ,481
ɗaŋmɔ,1384
Ŋma,588
nana-yì,88
gboa,20
mɔk,26
gba,392
